13,,ALL WORK SUMMARY,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,"Chained volume measure, seasonally adjusted, 2011 prices",,,,"Chained volume measure, seasonally adjusted index number, 2011 = 100",,,,"Chained volume measure, non-seasonally adjusted, 2011 prices",,,,"Chained volume measure, non-seasonally adjusted index number, 2011 = 100",,,,"Current prices, non-seasonally adjusted",,,,"Implied deflator (2011=100), non-seasonally adjusted",,
,,,,,,,,,,,,,,,,,,,,,,,,
,,All Work,Period on Period Growths,Period on same period one year ago growths,,All Work,Period on Period Growths,Period on same period one year ago growths,,All Work,Period on Period Growths,Period on same period one year ago growths,,All Work,Period on Period Growths,Period on same period one year ago growths,,All Work,Period on Period Growths,Period on same period one year ago growths,,All Work,Period on Period Growths,Period on same period one year ago growths
Date,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,£ million,%,%,,£ million,%,%,,£ million,%,%,,£ million,%,%,,£ million,%,%,,£ million,%,%
,,,,,,,,,,,,,,,,,,,,,,,,
1997,,"104,995",,,,86.2,,,,"104,995",,,,86.2,,,,"60,990",,,,58.1,,
1998,,"106,546",1.5,,,87.5,1.5,,,"106,546",1.5,,,87.5,1.5,,,"64,825",6.3,,,60.8,4.8,
1999,,"107,903",1.3,,,88.6,1.3,,,"107,903",1.3,,,88.6,1.3,,,"68,581",5.8,,,63.5,4.4,
2000,,"108,832",0.9,,,89.4,0.9,,,"108,832",0.9,,,89.4,0.9,,,"72,711",6,,,66.8,5.1,
2001,,"110,776",1.8,,,91,1.8,,,"110,776",1.8,,,91,1.8,,,"77,960",7.2,,,70.3,5.3,
2002,,"117,108",5.7,,,96.2,5.7,,,"117,108",5.7,,,96.2,5.7,,,"87,220",11.9,,,74.4,5.8,
2003,,"122,787",4.8,,,100.9,4.9,,,"122,787",4.8,,,100.9,4.9,,,"97,258",11.5,,,79.2,6.3,
2004,,"129,256",5.3,,,106.2,5.3,,,"129,256",5.3,,,106.2,5.3,,,"106,658",9.7,,,82.5,4.3,
2005,,"126,147",-2.4,,,103.6,-2.4,,,"126,147",-2.4,,,103.6,-2.4,,,"111,493",4.5,,,88.4,7.1,
2006,,"127,104",0.8,,,104.4,0.8,,,"127,104",0.8,,,104.4,0.8,,,"118,321",6.1,,,93.1,5.3,
2007,,"129,850",2.2,,,106.7,2.2,,,"129,850",2.2,,,106.7,2.2,,,"127,064",7.4,,,97.9,5.1,
2008,,"126,450",-2.6,,,103.9,-2.6,,,"126,450",-2.6,,,103.9,-2.6,,,"128,644",1.2,,,101.8,4,
2009,,"109,760",-13.2,,,90.2,-13.2,,,"109,760",-13.2,,,90.2,-13.2,,,"111,083",-13.7,,,101.2,-0.5,
2010,,"119,126",8.5,,,97.9,8.5,,,"119,126",8.5,,,97.9,8.5,,,"117,385",5.7,,,98.6,-2.6,
2011,,"121,737",2.2,,,100,2.1,,,"121,737",2.2,,,100,2.1,,,"121,737",3.7,,,100,1.4,
2012,,"112,581",-7.5,,,92.5,-7.5,,,"112,581",-7.5,,,92.5,-7.5,,,"116,013",-4.7,,,103.1,3.1,
2013,,"113,006",0.4,,,92.8,0.3,,,"112,670",0.1,,,92.6,0.1,,,"121,691",4.9,,,106.4,3.2,
2014,,"123,730",9.5,,,101.6,9.5,,,"123,730",9.8,,,101.6,9.8,,,"135,146",11.1,,,107.7,1.2,
,,,,,,,,,,,,,,,,,,,,,,,,
1997,Q1 ,"25,925",,,,85.2,,,,"25,564",,,,84,,,,"14,585",,,,57.1,0.2,
,Q2 ,"26,381",1.8,,,86.7,1.8,,,"26,127",2.2,,,85.8,2.1,,,"15,057",3.2,,,57.6,1,
,Q3 ,"26,038",-1.3,,,85.6,-1.3,,,"26,382",1,,,86.7,1,,,"15,439",2.5,,,58.5,1.5,
,Q4 ,"26,648",2.3,,,87.6,2.3,,,"26,922",2,,,88.5,2.1,,,"15,909",3,,,59.1,1,
1998,Q1 ,"27,146",1.9,4.7,,89.2,1.8,4.7,,"26,786",-0.5,4.8,,88,-0.6,4.8,,"15,899",-0.1,9,,59.4,0.4,4
,Q2 ,"26,395",-2.8,0.1,,86.7,-2.8,0,,"26,176",-2.3,0.2,,86,-2.3,0.2,,"15,808",-0.6,5,,60.4,1.7,4.8
,Q3 ,"26,364",-0.1,1.3,,86.6,-0.1,1.2,,"26,684",1.9,1.1,,87.7,2,1.2,,"16,464",4.1,6.6,,61.7,2.2,5.4
,Q4 ,"26,646",1.1,0,,87.6,1.2,0,,"26,900",0.8,-0.1,,88.4,0.8,-0.1,,"16,654",1.2,4.7,,61.9,0.3,4.8
1999,Q1 ,"26,744",0.4,-1.5,,87.9,0.3,-1.5,,"26,367",-2,-1.6,,86.6,-2,-1.6,,"16,370",-1.7,3,,62.1,0.3,4.6
,Q2 ,"26,751",0,1.3,,87.9,0,1.4,,"26,539",0.7,1.4,,87.2,0.7,1.4,,"16,738",2.2,5.9,,63.1,1.6,4.4
,Q3 ,"27,204",1.7,3.2,,89.4,1.7,3.2,,"27,538",3.8,3.2,,90.5,3.8,3.2,,"17,639",5.4,7.1,,64.1,1.6,3.8
,Q4 ,"27,192",0,2,,89.3,-0.1,1.9,,"27,458",-0.3,2.1,,90.2,-0.3,2,,"17,834",1.1,7.1,,65,1.4,4.9
2000,Q1 ,"27,638",1.6,3.3,,90.8,1.7,3.3,,"27,259",-0.7,3.4,,89.6,-0.7,3.5,,"17,880",0.3,9.2,,65.6,1,5.6
,Q2 ,"27,312",-1.2,2.1,,89.7,-1.2,2,,"27,082",-0.6,2,,89,-0.7,2.1,,"17,940",0.3,7.2,,66.2,1,5
,Q3 ,"26,688",-2.3,-1.9,,87.7,-2.2,-1.9,,"27,016",-0.2,-1.9,,88.8,-0.2,-1.9,,"18,194",1.4,3.1,,67.3,1.7,5.1
,Q4 ,"27,200",1.9,0,,89.4,1.9,0.1,,"27,474",1.7,0.1,,90.3,1.7,0.1,,"18,697",2.8,4.8,,68.1,1.1,4.8
2001,Q1 ,"27,115",-0.3,-1.9,,89.1,-0.3,-1.9,,"26,726",-2.7,-2,,87.8,-2.8,-2,,"18,392",-1.6,2.9,,68.8,1.1,4.9
,Q2 ,"27,755",2.4,1.6,,91.2,2.4,1.7,,"27,505",2.9,1.6,,90.4,3,1.6,,"19,147",4.1,6.7,,69.6,1.2,5.1
,Q3 ,"27,678",-0.3,3.7,,90.9,-0.3,3.6,,"28,047",2,3.8,,92.2,2,3.8,,"19,906",4,9.4,,71,2,5.4
,Q4 ,"28,224",2,3.8,,92.7,2,3.7,,"28,498",1.6,3.7,,93.6,1.5,3.7,,"20,515",3.1,9.7,,72,1.4,5.8
2002,Q1 ,"28,519",1,5.2,,93.7,1.1,5.2,,"28,152",-1.2,5.3,,92.5,-1.2,5.4,,"20,486",-0.1,11.4,,72.8,1.1,5.7
,Q2 ,"28,706",0.7,3.4,,94.3,0.6,3.4,,"28,457",1.1,3.5,,93.5,1.1,3.4,,"21,199",3.5,10.7,,74.5,2.4,7
,Q3 ,"29,716",3.5,7.4,,97.6,3.5,7.4,,"30,055",5.6,7.2,,98.8,5.7,7.2,,"22,422",5.8,12.6,,74.6,0.1,5.1
,Q4 ,"30,183",1.6,6.9,,99.2,1.6,7,,"30,445",1.3,6.8,,100,1.2,6.8,,"23,113",3.1,12.7,,75.9,1.8,5.5
2003,Q1 ,"29,507",-2.2,3.5,,97,-2.2,3.5,,"29,207",-4.1,3.7,,96,-4,3.8,,"22,636",-2.1,10.5,,77.5,2.1,6.5
,Q2 ,"30,289",2.7,5.5,,99.5,2.6,5.5,,"30,035",2.8,5.5,,98.7,2.8,5.6,,"23,576",4.2,11.2,,78.5,1.3,5.4
,Q3 ,"31,063",2.6,4.5,,102.1,2.6,4.6,,"31,435",4.7,4.6,,103.3,4.7,4.6,,"25,102",6.5,12,,79.9,1.7,7
,Q4 ,"31,898",2.7,5.7,,104.8,2.6,5.6,,"32,111",2.2,5.5,,105.5,2.1,5.5,,"25,944",3.4,12.2,,80.8,1.2,6.4
2004,Q1 ,"32,946",3.3,11.7,,108.3,3.3,11.6,,"32,729",1.9,12.1,,107.5,1.9,12,,"26,533",2.3,17.2,,81.1,0.3,4.6
,Q2 ,"32,362",-1.8,6.8,,106.3,-1.8,6.8,,"32,155",-1.8,7.1,,105.7,-1.7,7.1,,"26,270",-1,11.4,,81.7,0.8,4.1
,Q3 ,"32,152",-0.6,3.5,,105.6,-0.7,3.4,,"32,433",0.9,3.2,,106.6,0.9,3.2,,"26,925",2.5,7.3,,83,1.6,4
,Q4 ,"31,819",-1,-0.2,,104.5,-1,-0.3,,"31,938",-1.5,-0.5,,104.9,-1.6,-0.6,,"26,930",0,3.8,,84.3,1.6,4.4
2005,Q1 ,"32,040",0.7,-2.8,,105.3,0.8,-2.8,,"31,908",-0.1,-2.5,,104.8,-0.1,-2.5,,"27,381",1.7,3.2,,85.8,1.8,5.9
,Q2 ,"31,807",-0.7,-1.7,,104.5,-0.8,-1.7,,"31,586",-1,-1.8,,103.8,-1,-1.8,,"27,794",1.5,5.8,,88,2.5,7.7
,Q3 ,"31,180",-2,-3,,102.5,-1.9,-2.9,,"31,484",-0.3,-2.9,,103.4,-0.4,-3,,"28,094",1.1,4.3,,89.2,1.4,7.5
,Q4 ,"31,104",-0.2,-2.2,,102.2,-0.3,-2.2,,"31,170",-1,-2.4,,102.4,-1,-2.4,,"28,224",0.5,4.8,,90.6,1.5,7.4
2006,Q1 ,"31,417",1,-1.9,,103.2,1,-2,,"31,298",0.4,-1.9,,102.8,0.4,-1.9,,"28,766",1.9,5.1,,91.9,1.5,7.1
,Q2 ,"31,633",0.7,-0.5,,103.9,0.7,-0.6,,"31,405",0.3,-0.6,,103.2,0.4,-0.6,,"29,135",1.3,4.8,,92.8,0.9,5.4
,Q3 ,"31,737",0.3,1.8,,104.3,0.4,1.8,,"32,041",2,1.8,,105.3,2,1.8,,"29,949",2.8,6.6,,93.5,0.8,4.7
,Q4 ,"32,320",1.8,3.9,,106.2,1.8,3.9,,"32,360",1,3.8,,106.3,0.9,3.8,,"30,471",1.7,8,,94.2,0.7,4
2007,Q1 ,"32,723",1.2,4.2,,107.5,1.2,4.2,,"32,562",0.6,4,,107,0.7,4.1,,"31,014",1.8,7.8,,95.2,1.2,3.6
,Q2 ,"32,572",-0.5,3,,107,-0.5,3,,"32,374",-0.6,3.1,,106.4,-0.6,3.1,,"31,442",1.4,7.9,,97.1,2,4.7
,Q3 ,"32,089",-1.5,1.1,,105.4,-1.5,1.1,,"32,426",0.2,1.2,,106.5,0.1,1.1,,"32,087",2.1,7.1,,99,1.9,5.9
,Q4 ,"32,467",1.2,0.5,,106.7,1.2,0.5,,"32,489",0.2,0.4,,106.8,0.3,0.5,,"32,521",1.4,6.7,,100.1,1.2,6.3
2008,Q1 ,"32,813",1.1,0.3,,107.8,1,0.3,,"32,557",0.2,0,,107,0.2,0,,"32,814",0.9,5.8,,100.8,0.7,5.8
,Q2 ,"32,454",-1.1,-0.4,,106.6,-1.1,-0.4,,"32,232",-1,-0.4,,105.9,-1,-0.5,,"32,778",-0.1,4.2,,101.7,0.9,4.7
,Q3 ,"31,532",-2.8,-1.7,,103.6,-2.8,-1.7,,"31,958",-0.9,-1.4,,105,-0.8,-1.4,,"32,650",-0.4,1.8,,102.2,0.5,3.2
,Q4 ,"29,656",-5.9,-8.7,,97.4,-6,-8.7,,"29,703",-7.1,-8.6,,97.6,-7,-8.6,,"30,402",-6.9,-6.5,,102.4,0.2,2.3
2009,Q1 ,"27,544",-7.1,-16.1,,90.5,-7.1,-16,,"27,192",-8.5,-16.5,,89.3,-8.5,-16.5,,"27,847",-8.4,-15.1,,102.4,0.1,1.6
,Q2 ,"27,198",-1.3,-16.2,,89.4,-1.2,-16.1,,"27,057",-0.5,-16.1,,88.9,-0.4,-16.1,,"27,392",-1.6,-16.4,,101.2,-1.1,-0.4
,Q3 ,"27,682",1.8,-12.2,,91,1.8,-12.2,,"28,141",4,-11.9,,92.5,4,-11.9,,"28,455",3.9,-12.8,,101.1,-0.1,-1
,Q4 ,"27,344",-1.2,-7.8,,89.8,-1.3,-7.8,,"27,370",-2.7,-7.9,,89.9,-2.8,-7.9,,"27,389",-3.7,-9.9,,100.1,-1,-2.2
2010,Q1 ,"28,541",4.4,3.6,,93.8,4.5,3.6,,"27,042",-1.2,-0.6,,88.9,-1.1,-0.4,,"26,822",-2.1,-3.7,,99.3,-0.8,-3.1
,Q2 ,"29,942",4.9,10.1,,98.4,4.9,10.1,,"29,893",10.5,10.5,,98.2,10.5,10.5,,"29,439",9.8,7.5,,98.5,-0.7,-2.7
,Q3 ,"30,749",2.7,11.1,,101,2.6,11,,"31,802",6.4,13,,104.5,6.4,13,,"31,216",6,9.7,,98.2,-0.3,-2.8
,Q4,"29,873",-2.8,9.2,,98.2,-2.8,9.4,,"30,389",-4.4,11,,99.9,-4.4,11.1,,"29,908",-4.2,9.2,,98.4,0.2,-1.6
2011,Q1,"30,511",2.1,6.9,,100.3,2.1,6.9,,"28,937",-4.8,7,,95.1,-4.8,7,,"28,636",-4.3,6.8,,98.9,0.5,-0.3
,Q2,"30,611",0.3,2.2,,100.6,0.3,2.2,,"30,576",5.7,2.3,,100.5,5.7,2.3,,"30,455",6.4,3.5,,99.6,0.7,1.1
,Q3,"30,530",-0.3,-0.7,,100.3,-0.3,-0.7,,"31,529",3.1,-0.9,,103.6,3.1,-0.9,,"31,604",3.8,1.2,,100.3,0.7,2.1
,Q4,"30,092",-1.4,0.7,,98.9,-1.4,0.7,,"30,695",-2.6,1,,100.9,-2.6,1,,"31,042",-1.8,3.8,,101.2,0.9,2.8
2012,Q1 ,"29,043",-3.5,-4.8,,95.4,-3.5,-4.9,,"27,561",-10.2,-4.8,,90.6,-10.2,-4.7,,"28,207",-9.1,-1.5,,102.4,1.2,3.5
,Q2 ,"28,041",-3.5,-8.4,,92.1,-3.5,-8.4,,"27,926",1.3,-8.7,,91.8,1.3,-8.7,,"28,701",1.8,-5.8,,102.8,0.4,3.2
,Q3 ,"27,725",-1.1,-9.2,,91.1,-1.1,-9.2,,"28,603",2.4,-9.3,,94,2.4,-9.3,,"29,541",2.9,-6.5,,103.4,0.5,3.1
,Q4 ,"27,771",0.2,-7.7,,91.2,0.1,-7.8,,"28,492",-0.4,-7.2,,93.6,-0.4,-7.2,,"29,564",0.1,-4.8,,103.9,0.5,2.7
2013,Q1,"27,314",-1.6,-6,,89.7,-1.6,-6,,"25,770",-9.6,-6.5,,84.7,-9.5,-6.5,,"27,385",-7.4,-2.9,,104.7,0.8,2.3
,Q2,"27,973",2.4,-0.2,,91.9,2.5,-0.2,,"27,711",7.5,-0.8,,91.1,7.6,-0.8,,"29,808",8.8,3.9,,106,1.2,3.1
,Q3,"28,815",3,3.9,,94.7,3,4,,"29,674",7.1,3.7,,97.5,7,3.7,,"32,150",7.9,8.8,,106.8,0.7,3.3
,Q4,"28,904",0.3,4.1,,95,0.3,4.2,,"29,515",-0.5,3.6,,97,-0.5,3.6,,"32,347",0.6,9.4,,108.1,1.2,4
2014,Q1 ,"30,089",4.1,10.2,,98.9,4.1,10.2,,"28,343",-4,10,,93.1,-4,10,,"30,927",-4.4,12.9,,107.6,-0.4,2.7
,Q2 ,"30,752",2.2,9.9,,101,2.2,10,,"30,655",8.2,10.6,,100.7,8.2,10.6,,"33,350",7.8,11.9,,107.3,-0.3,1.1
,Q3 ,"31,414",2.2,9,,103.2,2.2,9,,"32,672",6.6,10.1,,107.4,6.6,10.1,,"35,726",7.1,11.1,,107.8,0.5,0.9
,Q4,"31,474",0.2,8.9,,103.4,0.2,8.9,,"32,060",-1.9,8.6,,105.3,-1.9,8.6,,"35,143",-1.6,8.6,,108.1,0.2,0
2015,Q1 ,"31,416",-0.2,4.4,,103.2,-0.2,4.4,,"29,685",-7.4,,,97.5,-7.4,4.7,,"32,785",-6.7,6,,108.8,0.7,1.2
,,,,,,,,,,,,,,,,,,,,,,,,
2010,Jan ,"8,972",,,,88.4,,,,"7,630",,,,75.2,,,,"7,589",,,,99.5,,
,Feb ,"9,611",7.1,,,94.7,7.1,,,"8,877",16.3,,,87.5,16.4,,,"8,810",16.1,,,99.3,-0.2,
,Mar,"9,958",3.6,,,98.2,3.7,,,"10,535",18.7,,,103.8,18.6,,,"10,423",18.3,,,99,-0.3,
,Apr,"9,899",-0.6,,,97.6,-0.6,,,"9,539",-9.5,,,94,-9.4,,,"9,414",-9.7,,,98.7,-0.2,
,May,"9,851",-0.5,,,97.1,-0.5,,,"9,820",2.9,,,96.8,3,,,"9,668",2.7,,,98.5,-0.2,
,Jun,"10,192",3.5,,,100.5,3.5,,,"10,534",7.3,,,103.8,7.2,,,"10,356",7.1,,,98.4,-0.1,
,Jul ,"10,109",-0.8,,,99.6,-0.9,,,"10,416",-1.1,,,102.7,-1.1,,,"10,223",-1.3,,,98.2,-0.1,
,Aug,"10,334",2.2,,,101.9,2.3,,,"10,753",3.2,,,106,3.2,,,"10,545",3.1,,,98.2,-0.1,
,Sep,"10,306",-0.3,,,101.6,-0.3,,,"10,633",-1.1,,,104.8,-1.1,,,"10,448",-0.9,,,98.3,0.2,
,Oct,"9,969",-3.3,,,98.3,-3.2,,,"10,632",0,,,104.8,0,,,"10,453",0,,,98.4,0,
,Nov ,"10,106",1.4,,,99.6,1.3,,,"10,667",0.3,,,105.1,0.3,,,"10,494",0.4,,,98.4,0,
,Dec ,"9,798",-3,,,96.6,-3,,,"9,089",-14.8,,,89.6,-14.7,,,"8,961",-14.6,,,98.6,0.2,
2011,Jan ,"9,848",0.5,9.8,,97.1,0.5,9.8,,"8,465",-6.9,10.9,,83.4,-6.9,10.9,,"8,360",-6.7,10.2,,98.7,0.2,-0.8
,Feb ,"10,093",2.5,5,,99.5,2.5,5.1,,"9,331",10.2,5.1,,92,10.3,5.1,,"9,232",10.4,4.8,,98.9,0.2,-0.3
,Mar ,"10,569",4.7,6.1,,104.2,4.7,6.1,,"11,141",19.4,5.8,,109.8,19.3,5.8,,"11,044",19.6,6,,99.1,0.2,0.2
,Apr,"10,112",-4.3,2.2,,99.7,-4.3,2.2,,"9,753",-12.5,2.2,,96.1,-12.5,2.2,,"9,692",-12.2,3,,99.4,0.2,0.7
,May,"10,121",0.1,2.7,,99.8,0.1,2.8,,"10,107",3.6,2.9,,99.6,3.6,2.9,,"10,067",3.9,4.1,,99.6,0.2,1.1
,Jun,"10,377",2.5,1.8,,102.3,2.5,1.8,,"10,715",6,1.7,,105.6,6,1.7,,"10,696",6.2,3.3,,99.8,0.2,1.5
,Jul,"10,170",-2,0.6,,100.2,-2.1,0.6,,"10,468",-2.3,0.5,,103.2,-2.3,0.5,,"10,472",-2.1,2.4,,100.1,0.2,1.9
,Aug,"10,158",-0.1,-1.7,,100.1,-0.1,-1.8,,"10,536",0.6,-2,,103.9,0.7,-2,,"10,559",0.8,0.1,,100.2,0.2,2.1
,Sep,"10,202",0.4,-1,,100.6,0.5,-1,,"10,526",-0.1,-1,,103.8,-0.1,-1,,"10,572",0.1,1.2,,100.5,0.2,2.2
,Oct,"9,757",-4.4,-2.1,,96.2,-4.4,-2.1,,"10,449",-0.7,-1.7,,103,-0.8,-1.7,,"10,526",-0.4,0.7,,100.8,0.3,2.5
,Nov,"10,074",3.2,-0.3,,99.3,3.2,-0.3,,"10,661",2,-0.1,,105.1,2,0,,"10,779",2.4,2.7,,101.2,0.4,2.8
,Dec,"10,260",1.8,4.7,,101.1,1.8,4.7,,"9,584",-10.1,5.4,,94.5,-10.1,5.5,,"9,737",-9.7,8.7,,101.6,0.5,3.1
2012,Jan ,"9,603",-6.4,-2.5,,94.7,-6.3,-2.5,,"8,335",-13,-1.5,,82.2,-13,-1.4,,"8,502",-12.7,1.7,,102,0.4,3.3
,Feb ,"9,665",0.6,-4.2,,95.3,0.6,-4.2,,"8,968",7.6,-3.9,,88.4,7.5,-3.9,,"9,183",8,-0.5,,102.5,0.4,3.6
,Mar ,"9,775",1.1,-7.5,,96.4,1.2,-7.5,,"10,258",14.4,-7.9,,101.1,14.4,-7.9,,"10,523",14.6,-4.7,,102.6,0.1,3.5
,Apr,"9,290",-5,-8.1,,91.6,-5,-8.1,,"8,955",-12.7,-8.2,,88.3,-12.7,-8.1,,"9,193",-12.6,-5.1,,102.7,0.1,3.3
,May,"9,660",4,-4.6,,95.2,3.9,-4.6,,"9,630",7.5,-4.7,,94.9,7.5,-4.7,,"9,896",7.6,-1.7,,102.8,0.1,3.2
,Jun,"9,091",-5.9,-12.4,,89.6,-5.9,-12.4,,"9,341",-3,-12.8,,92.1,-3,-12.8,,"9,612",-2.9,-10.1,,103,0.1,3.1
,Jul,"9,350",2.8,-8.1,,92.2,2.9,-8,,"9,625",3,-8.1,,94.9,3,-8,,"9,924",3.2,-5.2,,103.2,0.2,3.1
,Aug,"9,328",-0.2,-8.2,,91.9,-0.3,-8.2,,"9,647",0.2,-8.4,,95.1,0.2,-8.5,,"9,967",0.4,-5.6,,103.4,0.2,3.1
,Sep,"9,046",-3,-11.3,,89.2,-2.9,-11.3,,"9,331",-3.3,-11.4,,92,-3.3,-11.4,,"9,650",-3.2,-8.7,,103.5,0.1,3
,Oct,"9,395",3.9,-3.7,,92.6,3.8,-3.7,,"10,132",8.6,-3,,99.9,8.6,-3,,"10,498",8.8,-0.3,,103.7,0.2,2.9
,Nov,"9,388",-0.1,-6.8,,92.5,-0.1,-6.8,,"9,977",-1.5,-6.4,,98.3,-1.6,-6.5,,"10,351",-1.4,-4,,103.9,0.1,2.7
,Dec,"8,988",-4.3,-12.4,,88.6,-4.2,-12.4,,"8,383",-16,-12.5,,82.6,-16,-12.6,,"8,715",-15.8,-10.5,,104.1,0.2,2.4
2013,Jan ,"8,998",0.1,-6.3,,88.7,0.1,-6.3,,"7,794",-7,-6.5,,76.8,-7,-6.6,,"8,248",-5.4,-3,,104.3,0.2,2.2
,Feb ,"9,193",2.2,-4.9,,90.6,2.1,-4.9,,"8,506",9.1,-5.2,,83.8,9.1,-5.2,,"9,033",9.5,-1.6,,104.7,0.3,2.2
,Mar ,"9,124",-0.8,-6.7,,89.9,-0.8,-6.7,,"9,471",11.3,-7.7,,93.4,11.5,-7.6,,"10,105",11.9,-4,,105.2,0.5,2.5
,Apr,"9,285",1.8,-0.1,,91.5,1.8,-0.1,,"8,913",-5.9,-0.5,,87.9,-5.9,-0.5,,"9,556",-5.4,3.9,,105.7,0.5,2.9
,May,"9,385",1.1,-2.8,,92.5,1.1,-2.8,,"9,318",4.5,-3.2,,91.9,4.6,-3.2,,"10,028",4.9,1.3,,106.1,0.4,3.2
,Jun,"9,303",-0.9,2.3,,91.7,-0.9,2.3,,"9,479",1.7,1.5,,93.4,1.6,1.4,,"10,224",2,6.4,,106.3,0.2,3.3
,Jul,"9,557",2.7,2.2,,94.2,2.7,2.2,,"9,864",4.1,2.5,,97.2,4.1,2.4,,"10,665",4.3,7.5,,106.6,0.2,3.3
,Aug,"9,701",1.5,4,,95.6,1.5,4,,"9,954",0.9,3.2,,98.1,0.9,3.2,,"10,778",1.1,8.1,,106.7,0.1,3.2
,Sep,"9,558",-1.5,5.7,,94.2,-1.5,5.6,,"9,857",-1,5.6,,97.2,-0.9,5.7,,"10,707",-0.7,11,,107.1,0.3,3.5
,Oct,"9,899",3.6,5.4,,97.6,3.6,5.4,,"10,620",7.7,4.8,,104.7,7.7,4.8,,"11,593",8.3,10.4,,107.6,0.5,3.7
,Nov,"9,469",-4.3,0.9,,93.3,-4.4,0.9,,"9,988",-6,0.1,,98.5,-5.9,0.2,,"10,951",-5.5,5.8,,108.1,0.4,4.1
,Dec,"9,536",0.7,6.1,,94,0.8,6.1,,"8,906",-10.8,6.2,,87.8,-10.9,6.3,,"9,802",-10.5,12.5,,108.5,0.4,4.2
2014,Jan ,"10,118",6.1,12.4,,99.7,6.1,12.4,,"8,759",-1.7,12.4,,86.3,-1.7,12.4,,"9,605",-2,16.5,,108.1,-0.4,3.6
,Feb ,"9,940",-1.8,8.1,,98,-1.8,8.2,,"9,166",4.6,7.8,,90.3,4.6,7.8,,"9,986",4,10.6,,107.4,-0.7,2.6
,Mar ,"10,032",0.9,10,,98.9,0.9,10,,"10,418",13.7,10,,102.7,13.7,10,,"11,335",13.5,12.2,,107.3,-0.1,2
,Apr,"10,294",2.6,10.9,,101.5,2.6,10.9,,"9,938",-4.6,11.5,,98,-4.6,11.5,,"10,798",-4.7,13,,107.1,-0.1,1.3
,May,"10,210",-0.8,8.8,,100.6,-0.8,8.8,,"10,185",2.5,9.3,,100.4,2.5,9.2,,"11,060",2.4,10.3,,107.1,-0.1,0.9
,Jun,"10,248",0.4,10.2,,101,0.4,10.2,,"10,532",3.4,11.1,,103.8,3.4,11.1,,"11,492",3.9,12.4,,107.6,0.5,1.2
,Jul,"10,491",2.4,9.8,,103.4,2.4,9.8,,"10,974",4.2,11.3,,108.2,4.2,11.3,,"12,017",4.6,12.7,,108,0.4,1.3
,Aug,"10,401",-0.9,7.2,,102.5,-0.9,7.3,,"10,697",-2.5,7.5,,105.4,-2.5,7.5,,"11,667",-2.9,8.3,,107.5,-0.4,0.7
,Sep,"10,522",1.2,10.1,,103.7,1.2,10.1,,"11,002",2.9,11.6,,108.4,2.9,11.6,,"12,042",3.2,12.5,,107.9,0.3,0.8
,Oct,"10,468",-0.5,5.7,,103.2,-0.5,5.7,,"11,315",2.8,6.5,,111.5,2.8,6.5,,"12,396",2.9,6.9,,108,0.1,0.4
,Nov,"10,400",-0.7,9.8,,102.5,-0.7,9.9,,"10,835",-4.2,8.5,,106.8,-4.2,8.4,,"11,885",-4.1,8.5,,108.1,0.1,0
,Dec,"10,607",2,11.2,,104.6,2,11.2,,"9,910",-8.5,11.3,,97.7,-8.5,11.3,,"10,862",-8.6,10.8,,108.1,-0.1,-0.4
2015,Jan ,"10,488",-1.1,3.7,,103.4,-1.1,3.7,,"9,102",-8.2,3.9,,89.7,-8.2,3.9,,"9,994",-8,4,,108.2,0.2,0.1
,Feb ,"10,393",-0.9,4.6,,102.4,-0.9,4.6,,"9,600",5.5,4.7,,94.6,5.5,4.7,,"10,578",5.8,5.9,,108.6,0.4,1.1
,Mar ,"10,534",1.4,5,,103.8,1.4,5,,"10,983",14.4,5.4,,108.3,14.4,5.4,,"12,213",15.5,7.7,,109.6,0.9,2.2
,Apr†,"10,482",-0.5,1.8,,103.3,-0.5,1.8,,"10,116",-7.9,1.8,,99.7,-7.9,1.8,,"11,256",-7.8,4.2,,109.1,-0.5,1.8
,May†,"10,345",-1.3,1.3,,102,-1.3,1.3,,"10,172",0.6,-0.1,,100.3,0.6,-0.1,,"11,351",0.8,2.6,,109.4,0.3,2.2
,,,,,,,,,,,,,,,,,,,,,,,,
†Periods open for revisions,,,,,,,,,,,,,,,,,,,,,,,,
